Column,Year,Age,Sex,Participant,Casualty,Total
194,2005,45 - 54 years,Male,Pedal cyclists,Injured,10
195,2005,45 - 54 years,Male,Pedal cyclists,Killed,0
196,2005,45 - 54 years,Male,Other road users,Injured,103
197,2005,45 - 54 years,Male,Other road users,Killed,2
198,2005,45 - 54 years,Male,Motor cyclists,Injured,41
199,2005,45 - 54 years,Male,Motor cyclists,Killed,6
200,2005,45 - 54 years,Male,Car passengers,Injured,37
201,2005,45 - 54 years,Male,Car passengers,Killed,1
202,2005,45 - 54 years,Male,Car drivers,Injured,205
203,2005,45 - 54 years,Male,Car drivers,Killed,8
204,2005,45 - 54 years,Female,Pedestrians,Injured,30
205,2005,45 - 54 years,Female,Pedestrians,Killed,0
206,2005,45 - 54 years,Female,Pedal cyclists,Injured,6
207,2005,45 - 54 years,Female,Pedal cyclists,Killed,0
208,2005,45 - 54 years,Female,Other road users,Injured,14
209,2005,45 - 54 years,Female,Other road users,Killed,1
210,2005,45 - 54 years,Female,Motor cyclists,Injured,4
211,2005,45 - 54 years,Female,Motor cyclists,Killed,1
212,2005,45 - 54 years,Female,Car passengers,Injured,65
213,2005,45 - 54 years,Female,Car passengers,Killed,3
214,2005,45 - 54 years,Female,Car drivers,Injured,219
215,2005,45 - 54 years,Female,Car drivers,Killed,5
216,2005,55 - 64 years,Male,Pedestrians,Injured,42
217,2005,55 - 64 years,Male,Pedestrians,Killed,7
218,2005,55 - 64 years,Male,Pedal cyclists,Injured,11
219,2005,55 - 64 years,Male,Pedal cyclists,Killed,1
220,2005,55 - 64 years,Male,Other road users,Injured,52
221,2005,55 - 64 years,Male,Other road users,Killed,3
222,2005,55 - 64 years,Male,Motor cyclists,Injured,6
223,2005,55 - 64 years,Male,Motor cyclists,Killed,2
224,2005,55 - 64 years,Male,Car passengers,Injured,25
225,2005,55 - 64 years,Male,Car passengers,Killed,0
226,2005,55 - 64 years,Male,Car drivers,Injured,149
227,2005,55 - 64 years,Male,Car drivers,Killed,9
228,2005,55 - 64 years,Female,Pedestrians,Injured,23
229,2005,55 - 64 years,Female,Pedestrians,Killed,4
230,2005,55 - 64 years,Female,Pedal cyclists,Injured,2
231,2005,55 - 64 years,Female,Pedal cyclists,Killed,1
232,2005,55 - 64 years,Female,Other road users,Injured,8
233,2005,55 - 64 years,Female,Other road users,Killed,0
234,2005,55 - 64 years,Female,Motor cyclists,Injured,2
235,2005,55 - 64 years,Female,Motor cyclists,Killed,0
236,2005,55 - 64 years,Female,Car passengers,Injured,57
237,2005,55 - 64 years,Female,Car passengers,Killed,0
238,2005,55 - 64 years,Female,Car drivers,Injured,127
239,2005,55 - 64 years,Female,Car drivers,Killed,6
240,2005,65 years and over,Male,Pedestrians,Injured,53
241,2005,65 years and over,Male,Pedestrians,Killed,12
242,2005,65 years and over,Male,Pedal cyclists,Injured,7
243,2005,65 years and over,Male,Pedal cyclists,Killed,2
244,2005,65 years and over,Male,Other road users,Injured,22
245,2005,65 years and over,Male,Other road users,Killed,1
246,2005,65 years and over,Male,Motor cyclists,Injured,6
247,2005,65 years and over,Male,Motor cyclists,Killed,0
248,2005,65 years and over,Male,Car passengers,Injured,28
249,2005,65 years and over,Male,Car passengers,Killed,4
250,2005,65 years and over,Male,Car drivers,Injured,155
251,2005,65 years and over,Male,Car drivers,Killed,15
252,2005,65 years and over,Female,Pedestrians,Injured,60
253,2005,65 years and over,Female,Pedestrians,Killed,8
254,2005,65 years and over,Female,Pedal cyclists,Injured,1
255,2005,65 years and over,Female,Pedal cyclists,Killed,1
256,2005,65 years and over,Female,Other road users,Injured,10
257,2005,65 years and over,Female,Other road users,Killed,0
258,2005,65 years and over,Female,Motor cyclists,Injured,3
259,2005,65 years and over,Female,Motor cyclists,Killed,0
260,2005,65 years and over,Female,Car passengers,Injured,73
261,2005,65 years and over,Female,Car passengers,Killed,8
262,2005,65 years and over,Female,Car drivers,Injured,101
263,2005,65 years and over,Female,Car drivers,Killed,5
264,2005,Age unknown,Male,Pedestrians,Injured,26
265,2005,Age unknown,Male,Pedestrians,Killed,1
266,2005,Age unknown,Male,Pedal cyclists,Injured,9
267,2005,Age unknown,Male,Pedal cyclists,Killed,0
268,2005,Age unknown,Male,Other road users,Injured,25
269,2005,Age unknown,Male,Other road users,Killed,0
270,2005,Age unknown,Male,Motor cyclists,Injured,12
271,2005,Age unknown,Male,Motor cyclists,Killed,0
272,2005,Age unknown,Male,Car passengers,Injured,22
273,2005,Age unknown,Male,Car passengers,Killed,0
274,2005,Age unknown,Male,Car drivers,Injured,35
275,2005,Age unknown,Male,Car drivers,Killed,0
276,2005,Age unknown,Female,Pedestrians,Injured,21
277,2005,Age unknown,Female,Pedestrians,Killed,0
278,2005,Age unknown,Female,Pedal cyclists,Injured,3
279,2005,Age unknown,Female,Pedal cyclists,Killed,0
280,2005,Age unknown,Female,Other road users,Injured,12
281,2005,Age unknown,Female,Other road users,Killed,0
282,2005,Age unknown,Female,Motor cyclists,Injured,1
283,2005,Age unknown,Female,Motor cyclists,Killed,0
284,2005,Age unknown,Female,Car passengers,Injured,32
285,2005,Age unknown,Female,Car passengers,Killed,1
286,2005,Age unknown,Female,Car drivers,Injured,31
287,2005,Age unknown,Female,Car drivers,Killed,0
288,2006,00 - 05 years,Male,Pedestrians,Injured,32
289,2006,00 - 05 years,Male,Pedestrians,Killed,1
290,2006,00 - 05 years,Male,Pedal cyclists,Injured,0
291,2006,00 - 05 years,Male,Pedal cyclists,Killed,0
292,2006,00 - 05 years,Male,Other road users,Injured,6
293,2006,00 - 05 years,Male,Other road users,Killed,0
294,2006,00 - 05 years,Male,Motor cyclists,Injured,0
295,2006,00 - 05 years,Male,Motor cyclists,Killed,0
296,2006,00 - 05 years,Male,Car passengers,Injured,51
297,2006,00 - 05 years,Male,Car passengers,Killed,4
298,2006,00 - 05 years,Male,Car drivers,Injured,0
299,2006,00 - 05 years,Male,Car drivers,Killed,0
300,2006,00 - 05 years,Female,Pedestrians,Injured,16
301,2006,00 - 05 years,Female,Pedestrians,Killed,2
302,2006,00 - 05 years,Female,Pedal cyclists,Injured,0
303,2006,00 - 05 years,Female,Pedal cyclists,Killed,0
304,2006,00 - 05 years,Female,Other road users,Injured,2
305,2006,00 - 05 years,Female,Other road users,Killed,0
306,2006,00 - 05 years,Female,Motor cyclists,Injured,1
307,2006,00 - 05 years,Female,Motor cyclists,Killed,0
308,2006,00 - 05 years,Female,Car passengers,Injured,54
309,2006,00 - 05 years,Female,Car passengers,Killed,2
310,2006,00 - 05 years,Female,Car drivers,Injured,0
311,2006,00 - 05 years,Female,Car drivers,Killed,0
312,2006,06 - 09 years,Male,Pedestrians,Injured,44
313,2006,06 - 09 years,Male,Pedestrians,Killed,2
314,2006,06 - 09 years,Male,Pedal cyclists,Injured,2
315,2006,06 - 09 years,Male,Pedal cyclists,Killed,0
